State,Number of Tourists
Aguascalientes,856960.0
Baja California,3958843.0
Baja California Sur,3445908.0
Campeche,1578131.0
Chiapas,4376440.0
Chihuahua,5228183.0
Ciudad de Mexico,11331505.0
Coahuila,1956640.0
Colima,1450627.0
Durango,829529.0
Estado de Mexico,3127227.0
Guanajuato,5026515.0
Guerrero,9065181.0
Hidalgo,2925426.0
Jalisco,9499223.0
Michoacan,3005225.0
Morelos,1659199.0
Nayarit,3073656.0
Nuevo Leon,3222964.0
Oaxaca,3666038.0
Puebla,6608202.0
Queretaro,2520716.0
Quintana Roo,16675407.0
San Luis Potosi,2132770.0
Sinaloa,5271130.0
Sonora,2671758.0
Tabasco,1408949.0
Tamaulipas,3743766.0
Tlaxcala,458161.0
Veracruz,5332441.0
Yucatan,2617911.0
Zacatecas,1325235.0
,
,
,
