State,Crimes
Aguascalientes,13252
Baja California,38801
Baja California Sur,7356
Campeche,827
Coahuila de Zaragoza,19368
Colima,7881
Chiapas,6482
Chihuahua,25089
Distrito Federal,72500
Durango,9696
Guanajuato,54610
Guerrero,9692
Hidalgo,15484
Jalisco,44860
México,43168
Michoacán de Ocampo,20195
Morelos,14566
Nayarit,1220
Nuevo León,25930
Oaxaca,15474
Puebla,20145
Querétaro,24457
Quintana Roo,15369
San Luis Potosí,15504
Sinaloa,9194
Sonora,12693
Tabasco,15546
Tamaulipas,11018
Tlaxcala,1055
Veracruz de Ignacio de la Llave,23453
Yucatán,1207
Zacatecas,9806
