State,Total
Aguascalientes,1425607
Baja California,3769020
Baja California Sur,798447
Campeche,928363
Chiapas,5543828
Chihuahua,3741869
Ciudad de Mexico,9209944
Coahuila de Zaragoza,3146771
Colima,731391
Durango,1832650
Estado de Mexico,16992418
Guanajuato,6166934
Guerrero,3540685
Hidalgo,3082841
Jalisco,8348151
Michoacan,4748846
Morelos,1971520
Nayarit,1235456
Nuevo Leon,5784442
Oaxaca,4132148
Puebla,6583278
Queretaro,2368467
Quintana Roo,1857985
San Luis Potosi,2822255
Sinaloa,3026943
Sonora,2944840
Tabasco,2402598
Tamaulipas,3527735
Tlaxcala,1342977
Veracruz,8062579
Yucatan,2320898
Zacatecas,1622138
