Entidad federativa,Grupo quinquenal de edad,1990,1995,2000,2005,2010,2020
Estados Unidos Mexicanos,Total,81249645,91158290,97483412,103263388,112336538,126014024
Estados Unidos Mexicanos,0 a 4 años,10195178,10724100,10635157,10186243,10528322,10047365
Estados Unidos Mexicanos,5 a 9 años,10562234,10867563,11215323,10511738,11047537,10764379
Estados Unidos Mexicanos,10 a 14 años,10389092,10670048,10736493,10952123,10939937,10943540
Estados Unidos Mexicanos,15 a 19 años,9664403,10142071,9992135,10109021,11026112,10806690
Estados Unidos Mexicanos,20 a 24 años,7829163,9397424,9071134,8964629,9892271,10422095
Estados Unidos Mexicanos,25 a 29 años,6404512,7613090,8157743,8103358,8788177,9993001
Estados Unidos Mexicanos,30 a 34 años,5387619,6564605,7136523,7933951,8470798,9420827
Estados Unidos Mexicanos,35 a 39 años,4579116,5820178,6352538,7112526,8292987,9020276
Estados Unidos Mexicanos,40 a 44 años,3497770,4434317,5194833,6017268,7009226,8503586
Estados Unidos Mexicanos,45 a 49 años,2971860,3612452,4072091,5015255,5928730,7942413
Estados Unidos Mexicanos,50 a 54 años,2393791,2896049,3357953,4090650,5064291,7037532
Estados Unidos Mexicanos,55 a 59 años,1894484,2231897,2559231,3117071,3895365,5695958
Estados Unidos Mexicanos,60 a 64 años,1611317,1941953,2198146,2622476,3116466,4821062
Estados Unidos Mexicanos,65 a 69 años,1183651,1425809,1660785,1958069,2317265,3645077
Estados Unidos Mexicanos,70 a 74 años,827027,1079803,1245674,1496691,1873934,2647340
Estados Unidos Mexicanos,75 a 79 años,590836,666196,865270,1048315,1245483,1814582
Estados Unidos Mexicanos,80 a 84 años,401832,434120,483876,657011,798936,1175364
Estados Unidos Mexicanos,85 a 89 años,225450,252802,290051,345154,454164,659245
Estados Unidos Mexicanos,90 a 94 años,91189,105150,122006,132325,164924,266806
Estados Unidos Mexicanos,95 a 99 años,37689,49764,62892,61145,65732,95205
Estados Unidos Mexicanos,100 años y más,19167,14046,19757,17649,18475,18295
Estados Unidos Mexicanos,No especificado,492265,214853,2053801,2810720,1397406,273386
Aguascalientes,Total,719659,862720,944285,1065416,1184996,1425607
Aguascalientes,0 a 4 años,98013,112429,116137,118536,121557,124430
Aguascalientes,5 a 9 años,98158,107680,117375,120130,128874,131048
Aguascalientes,10 a 14 años,94971,104083,108532,120280,123806,129717
Aguascalientes,15 a 19 años,87750,97061,99577,107007,121428,131967
Aguascalientes,20 a 24 años,69577,88901,87508,93139,106305,127020
Aguascalientes,25 a 29 años,55660,71839,79200,83073,93604,118426
Aguascalientes,30 a 34 años,46833,62217,70317,82651,88726,106825
Aguascalientes,35 a 39 años,38127,52549,60839,73006,86254,99257
Aguascalientes,40 a 44 años,29392,40131,49365,61553,73084,92378
Aguascalientes,45 a 49 años,23788,31678,37541,49233,60198,84669
Aguascalientes,50 a 54 años,18093,24525,30202,39222,49980,74121
Aguascalientes,55 a 59 años,14905,17646,22094,29196,37543,58865
Aguascalientes,60 a 64 años,13035,15900,17759,23168,29258,48306
Aguascalientes,65 a 69 años,10091,11870,13752,16290,21004,35823
Aguascalientes,70 a 74 años,6731,9452,10714,12912,15254,25586
Aguascalientes,75 a 79 años,5378,5771,7754,9203,10673,16581
Aguascalientes,80 a 84 años,3661,3892,4336,6155,7228,10186
Aguascalientes,85 a 89 años,2221,2428,2726,3140,4061,5576
Aguascalientes,90 a 94 años,715,975,1169,1302,1467,2410
Aguascalientes,95 a 99 años,237,380,542,503,551,796
Aguascalientes,100 años y más,78,59,102,98,109,112
Aguascalientes,No especificado,2245,1254,6744,15619,4032,1508
Baja California,Total,1660855,2112140,2487367,2844469,3155070,3769020
Baja California,0 a 4 años,202831,257856,268682,267954,293234,266301
Baja California,5 a 9 años,185303,238928,260331,277635,303180,299654
Baja California,10 a 14 años,180428,208902,226758,267938,305472,312348
Baja California,15 a 19 años,202116,215142,220707,255309,299195,315639
Baja California,20 a 24 años,184182,240052,231966,246968,286479,340359
Baja California,25 a 29 años,151366,208348,230907,241951,265428,328244
Baja California,30 a 34 años,122683,175151,197807,240879,264023,302389
Baja California,35 a 39 años,97317,143144,165348,208125,264063,292069
Baja California,40 a 44 años,71766,105499,126564,164598,215049,273611
Baja California,45 a 49 años,58601,80606,92839,128512,171104,260844
Baja California,50 a 54 años,47458,64059,73548,99356,136690,221388
Baja California,55 a 59 años,37179,47838,53639,71624,97874,168653
Baja California,60 a 64 años,30769,40558,44174,56711,75229,134022
Baja California,65 a 69 años,22752,29724,32561,40660,52560,94704
Baja California,70 a 74 años,14420,21048,23192,28923,37742,65425
Baja California,75 a 79 años,9438,12270,15403,18815,24055,40874
Baja California,80 a 84 años,5456,7248,8005,11375,14744,25204
Baja California,85 a 89 años,2939,3702,4322,5453,7764,12451
Baja California,90 a 94 años,1027,1336,1675,1987,2641,4858
Baja California,95 a 99 años,412,572,857,792,913,1512
Baja California,100 años y más,189,141,266,172,206,252
Baja California,No especificado,32223,10016,207816,208732,37425,8219
Baja California Sur,Total,317764,375494,424041,512170,637026,798447
Baja California Sur,0 a 4 años,38275,42732,45613,49069,60758,62455
Baja California Sur,5 a 9 años,38661,42977,45929,49164,60334,66933
Baja California Sur,10 a 14 años,38849,41165,43302,48106,57380,67665
Baja California Sur,15 a 19 años,37202,40586,42376,46700,57713,65469
Baja California Sur,20 a 24 años,32187,39231,42278,46222,58690,66743
Baja California Sur,25 a 29 años,28300,34454,40264,45939,57525,68798
Baja California Sur,30 a 34 años,24249,30976,35609,43628,56159,67779
Baja California Sur,35 a 39 años,19309,26784,31282,38197,52235,64927
Baja California Sur,40 a 44 años,14151,19764,25053,31526,42163,59389
Baja California Sur,45 a 49 años,11427,14905,18593,25121,34308,51771
Baja California Sur,50 a 54 años,8654,11611,14109,19430,28122,43337
Baja California Sur,55 a 59 años,6897,8618,10631,13781,20188,33731
Baja California Sur,60 a 64 años,5301,6868,8248,10783,14895,27095
Baja California Sur,65 a 69 años,3954,5061,6145,7544,10279,19274
Baja California Sur,70 a 74 años,2709,3560,4176,5254,7012,12545
Baja California Sur,75 a 79 años,1896,2353,2894,3488,4598,8166
Baja California Sur,80 a 84 años,1129,1430,1725,2154,2805,4649
Baja California Sur,85 a 89 años,698,795,966,1168,1589,2556
Baja California Sur,90 a 94 años,250,321,361,440,655,936
Baja California Sur,95 a 99 años,97,149,221,177,223,332
Baja California Sur,100 años y más,65,35,53,45,58,55
Baja California Sur,No especificado,3504,1119,4213,24234,9337,3842
Campeche,Total,535185,642516,690689,754730,822441,928363
Campeche,0 a 4 años,71130,80026,78424,73461,76925,78935
Campeche,5 a 9 años,72228,80680,83090,79199,78299,82015
Campeche,10 a 14 años,68224,77875,80246,83597,81314,80168
Campeche,15 a 19 años,60846,71464,73769,77485,82920,76140
Campeche,20 a 24 años,49953,64693,66395,70006,76388,75556
Campeche,25 a 29 años,41646,52129,57599,62455,68197,72798
Campeche,30 a 34 años,34489,45219,50021,59665,64927,72709
Campeche,35 a 39 años,31017,40558,45603,52899,61896,70275
Campeche,40 a 44 años,22303,30851,36088,43896,50522,64170
Campeche,45 a 49 años,18748,24521,28962,36152,42811,57628
Campeche,50 a 54 años,14480,18502,22362,29746,35658,50254
Campeche,55 a 59 años,11782,14680,16699,21475,28316,40805
Campeche,60 a 64 años,10404,12842,14546,17979,21379,32778
Campeche,65 a 69 años,7175,9347,10683,12827,15079,25796
Campeche,70 a 74 años,5448,7362,8374,9830,12890,17559
Campeche,75 a 79 años,3362,4504,5787,7153,8320,11916
Campeche,80 a 84 años,2260,2674,3421,4407,5254,7536
Campeche,85 a 89 años,1193,1449,1777,2579,3209,4413
Campeche,90 a 94 años,529,682,714,890,1127,1768
Campeche,95 a 99 años,236,304,414,405,479,701
Campeche,100 años y más,129,125,149,140,142,149
Campeche,No especificado,7603,2029,5566,8484,6389,4294
Coahuila,Total,1972340,2173775,2298070,2495200,2748391,3146771
Coahuila,0 a 4 años,230050,253150,253171,249590,258246,279912
Coahuila,5 a 9 años,235925,241326,257228,257277,270736,276224
Coahuila,10 a 14 años,251883,236394,234659,257591,268193,268144
Coahuila,15 a 19 años,243023,240739,225416,231405,261942,269284
Coahuila,20 a 24 años,198192,231564,223857,214562,230132,264313
Coahuila,25 a 29 años,160430,187979,204662,206859,210236,245917
Coahuila,30 a 34 años,136866,164412,179690,205193,216325,224329
Coahuila,35 a 39 años,112282,143230,157386,180228,211770,219634
Coahuila,40 a 44 años,88783,109439,128951,152496,177554,218687
Coahuila,45 a 49 años,74867,90101,98997,126257,150271,205202
Coahuila,50 a 54 años,61385,72230,82932,100907,125961,178214
Coahuila,55 a 59 años,47028,56802,63057,77889,95121,142215
Coahuila,60 a 64 años,40013,47416,53853,64043,77527,118950
Coahuila,65 a 69 años,29448,35309,39173,47679,55667,84422
Coahuila,70 a 74 años,19256,25443,28943,34186,42832,61684
Coahuila,75 a 79 años,14169,15572,19396,23529,27610,39801
Coahuila,80 a 84 años,9569,9618,10102,13768,17076,24851
Coahuila,85 a 89 años,5085,5983,6051,6882,9002,12495
Coahuila,90 a 94 años,1715,2044,2420,2396,2959,4712
Coahuila,95 a 99 años,633,873,1027,1056,1008,1408
Coahuila,100 años y más,277,169,253,225,263,214
Coahuila,No especificado,11461,3982,26846,41182,37960,6159
Colima,Total,428510,488028,542627,567996,650555,731391
Colima,0 a 4 años,52269,54512,53295,51929,58263,52313
Colima,5 a 9 años,54412,57304,57165,53742,59869,60049
Colima,10 a 14 años,55609,57444,57422,56990,59473,60801
Colima,15 a 19 años,52837,55665,54826,56534,62323,60663
Colima,20 a 24 años,40023,50183,48878,50049,60070,59343
Colima,25 a 29 años,33413,39747,43310,44660,53136,58035
Colima,30 a 34 años,28739,35694,38024,44016,50521,57436
Colima,35 a 39 años,24122,32099,35524,39605,48863,54566
Colima,40 a 44 años,18372,24674,29529,34968,41432,51179
Colima,45 a 49 años,15453,19427,22683,28969,35812,47133
Colima,50 a 54 años,12009,15550,18269,23348,30917,41541
Colima,55 a 59 años,9293,11815,14053,17614,23301,34819
Colima,60 a 64 años,8057,9813,11339,14442,18355,29795
Colima,65 a 69 años,6631,7519,8777,10530,13806,22071
Colima,70 a 74 años,5054,6251,6599,7947,10239,16086
Colima,75 a 79 años,3497,4261,5086,5679,6976,10803
Colima,80 a 84 años,2222,2778,3129,3908,4565,6859
Colima,85 a 89 años,1246,1551,1879,2327,2906,3623
Colima,90 a 94 años,528,659,760,946,1259,1571
Colima,95 a 99 años,224,335,397,416,499,601
Colima,100 años y más,135,74,128,121,123,148
Colima,No especificado,4365,673,31555,19256,7847,1956
Chiapas,Total,3210496,3584786,3920892,4293459,4796580,5543828
Chiapas,0 a 4 años,489348,501668,483372,490058,540459,574152
Chiapas,5 a 9 años,492534,509161,518550,512440,554692,612792
Chiapas,10 a 14 años,438235,473016,488791,537725,549896,583132
Chiapas,15 a 19 años,364776,417806,433517,471331,530233,526577
Chiapas,20 a 24 años,290946,339774,361994,383455,438019,464523
Chiapas,25 a 29 años,242845,273873,292960,324289,366537,424403
Chiapas,30 a 34 años,189068,222885,242588,283522,335370,396045
Chiapas,35 a 39 años,172594,207954,226620,257320,307983,372863
Chiapas,40 a 44 años,122305,151151,174699,210437,246620,329204
Chiapas,45 a 49 años,106102,124169,141959,176142,212924,284333
Chiapas,50 a 54 años,80547,96273,110635,139301,174407,243848
Chiapas,55 a 59 años,59003,71025,83843,103667,137559,196355
Chiapas,60 a 64 años,52373,61519,72099,98728,110499,158726
Chiapas,65 a 69 años,31946,40548,49327,63469,78922,125777
Chiapas,70 a 74 años,26198,31734,37597,46845,68500,85855
Chiapas,75 a 79 años,15980,18589,23858,31858,39750,63158
Chiapas,80 a 84 años,12562,13071,14768,19141,24678,38245
Chiapas,85 a 89 años,5934,6412,7712,10593,13513,21839
Chiapas,90 a 94 años,3403,3612,3896,4097,5569,8853
Chiapas,95 a 99 años,1578,1848,2309,2352,2583,3855
Chiapas,100 años y más,1354,1074,1241,1267,1467,1449
Chiapas,No especificado,10865,17624,148557,125422,56400,27844
Chihuahua,Total,2441873,2793537,3052907,3241444,3406465,3741869
Chihuahua,0 a 4 años,291158,330996,334521,320384,322676,291286
Chihuahua,5 a 9 años,285488,320170,341921,324350,335064,317322
Chihuahua,10 a 14 años,282115,293173,306679,322642,324661,333715
Chihuahua,15 a 19 años,299267,291853,290939,300186,322034,326333
Chihuahua,20 a 24 años,254240,299966,280013,267506,285872,314067
Chihuahua,25 a 29 años,205168,254432,272404,250016,255036,298299
